responder,crush
0,1
0,2
0,3
4,0
4,5
4,2
4,6
4,7
8,9
8,10
10,11
10,8
12,13
12,14
12,15
16,17
16,18
19,0
19,20
19,21
19,22
19,7
19,4
19,8
19,23
19,24
25,26
25,27
25,28
29,30
29,31
26,27
26,32
26,33
31,34
31,35
31,36
37,38
37,39
40,41
40,42
43,44
43,45
43,46
15,15
15,47
41,48
41,49
41,50
51,52
51,53
2,54
2,55
56,57
56,58
5,20
5,59
60,25
60,61
61,60
61,62
61,63
61,64
13,65
13,66
67,68
67,69
70,71
70,14
70,72
70,73
74,75
74,76
74,73
73,77
73,78
20,79
20,5
20,79
20,5
80,74
80,81
65,13
65,82
71,83
71,84
57,85
57,48
86,87
49,42
49,40
39,38
39,88
39,89
90,62
90,91
90,61
90,8
90,92
